iso_x,ifs,country_x,year,size,tax,spend,D_sample,AFG_sample,CSDL_sample,AGL_sample,country_y,iso_y,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,country,wdicode,dnlgxqa,dCAPB,y,Dy,D0y,D1y,D2y,D3y,D4y,D5y,D6y,D7y,D8y,D9y,D10y,S0y,S1y,S2y,S3y,S4y,S5y,S6y,S7y,S8y,S9y,S10y,dCAPB0,dCAPB1,dCAPB2,dCAPB3,dCAPB4,dCAPB5,dCAPB6,dCAPB7,dCAPB8,dCAPB9,dCAPB10,SdCAPB0,SdCAPB1,SdCAPB2,SdCAPB3,SdCAPB4,SdCAPB5,SdCAPB6,SdCAPB7,SdCAPB8,SdCAPB9,SdCAPB10,y_hpcyc,y_hptrend,boom,slump,_x1,_x2,_x3,_x4,_x5,_x6,full,exp,rec
USA,111.0,United States,1978.0,0.13902999460697174,0.13903,0.0,1.0,1.0,0.0,0.0,USA,USA,222585.0,18372.97212300919,60.050521186627115,54.8057,2351.599,0.21330790190735693,52.753916119252146,-15.747,212.25,186.875,121.816,1322.4083333333301,7.93,8.41,50.793097173359214,6.1,56.96376438262065,0.341,399.561,458.746,1.0,1296.421,763.103,857.329,439.092,1975.81396484375,3.9481253623962402,67.53502655029297,14.843806266784668,0.0,0.0,0.0,0.0,BASE,NA,,0.078448086977005,0.1953878104686737,-0.029651163145899773,0.08221665769815445,,,0.1407591551542282,0.0546286478638649,0.047887977212667465,0.02440844103693962,0.0527520552277565,,,,0.08410000056028366,0.05403964966535568,0.14502398669719696,0.16951584815979004,0.026282746344804764,United States,USA,,,409.5186227699438,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6070540202277357,406.9115687497161,0,0,,,,,,,1,0,0
USA,111.0,United States,1979.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,225055.0,18789.393703761303,61.281414715715165,55.5304,2627.334,0.21988915775505427,57.75644264780191,-0.1567,252.675,230.15,131.347,1425.7666666666698,11.19,9.4425,57.683792308625506,5.8,61.85814872059077,0.32299999999999995,463.302,504.028,1.0,1446.002,845.813,955.312,490.69,2310.240966796875,3.8972251415252686,68.646728515625,16.179241180419922,0.0,0.0,0.0,0.0,BASE,NA,,0.18041826784610748,0.188324436545372,-0.015896104276180267,0.11225000023841858,,,0.13566212356090546,0.052662309259176254,0.0463714599609375,0.12163145840167999,0.05241187661886215,,,,0.09442500025033951,0.05878680944442749,0.1648193597793579,0.18659913539886475,0.048176947981119156,United States,USA,,,411.54766112578136,2.0290383558375424,2.0290383558375424,0.8299978341601104,2.352081000045871,-0.585227022803565,2.9523159696546486,9.078711570684163,12.267565316411378,14.774542774250392,17.222343055884153,20.39244206680229,22.951313291499503,2.0290383558375424,2.859036189997653,5.211117190043524,4.625890167239959,7.578206136894607,16.65691770757877,28.92448302399015,43.69902579824054,60.921368854124694,81.31381092092698,104.26512421242649,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6906882918304973,408.85697283395086,1,0,,,,,2.6070540202277357,,1,1,0
USA,111.0,United States,1980.0,0.08150000125169754,0.0815,0.0,1.0,1.0,0.0,0.0,USA,USA,227726.5,18577.36665413365,60.5510133758193,54.8413,2857.307,0.21011244014848557,64.2243557352198,2.127,293.825,280.775,141.483,1540.35,13.35,11.46,62.28163290064298,7.1,67.13034518289543,0.325,517.112,590.941,1.0,1527.143,902.187,999.461,527.682,2579.657958984375,3.94747257232666,67.94718933105469,16.902292251586914,0.0,0.0,0.0,0.0,BASE,NA,,0.2955473065376282,0.13123786449432373,-0.03143478184938431,0.13066670298576355,,,0.07970695197582245,0.05153091624379158,0.04772676154971123,0.23840445280075073,0.046142321079969406,,,,0.11460000276565552,0.05714285746216774,0.15453527867794037,0.17260880768299103,0.04961596056818962,United States,USA,,,410.3486206041039,-1.199040521677432,-1.199040521677432,0.3230426442083285,-2.6142653786411074,0.9232776138171062,7.049673214846621,10.238526960573836,12.74550441841285,15.19330470004661,18.363403710964747,20.92227493566196,21.66081319860575,-1.199040521677432,-0.8759978774691035,-3.490263256110211,-2.5669856422931048,4.482687572553516,14.721214533127352,27.4667189515402,42.66002365158681,61.02342736255156,81.94570229821352,103.60651549681927,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46027394913238595,410.8088945532363,1,0,2.0290383558375424,,,,2.6906882918304973,-0.01800000000000007,1,0,1
USA,111.0,United States,1981.0,0.5136399865150452,0.51364,0.0,1.0,1.0,0.0,0.0,USA,USA,229966.2,18855.55486999598,61.47969991866615,55.0825,3207.042,0.20770104098373765,70.28802425467407,4.81,317.75,305.225,150.002,1679.5916666666699,16.39,13.9108,65.41611063933034,7.6,73.77640391550749,0.317,599.272,678.241,1.0,1624.343,945.537,1040.182,584.161,2897.862060546875,3.980062246322632,70.50186920166016,18.44986343383789,0.0,0.0,0.0,0.0,BASE,NA,,-0.02299625426530838,0.10306918621063232,-0.0006666667177341878,0.15910829603672028,,,0.05032786726951599,0.052741315215826035,0.050214145332574844,-0.07265917956829071,0.053554121404886246,,,,0.13910800218582153,0.04966292157769203,0.07594972103834152,0.07537075132131577,0.07922081649303436,United States,USA,,,411.8707037699897,1.5220831658857605,1.5220831658857605,-1.4152248569636754,2.122318135494538,8.248713736524053,11.437567482251268,13.944544940090282,16.392345221724042,19.56244423264218,22.121315457339392,22.859853720283184,21.33455570548159,1.5220831658857605,0.10685830892208514,2.2291764444166233,10.477890180940676,21.915457663191944,35.860002603282226,52.25234782500627,71.81479205764845,93.93610751498784,116.79596123527102,138.1305169407526,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9098744933628495,412.78057826335254,0,1,-1.199040521677432,2.0290383558375424,,,-0.46027394913238595,0.0020000000000000573,1,1,0
USA,111.0,United States,1982.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,232187.8,18325.12026308355,59.7001156433609,55.3294,3343.789,0.1980984759527601,74.53259221829207,-11.607,303.2,283.2,163.019,1831.44166666667,12.24,13.0008,67.56338711634113,9.7,78.39601579941612,0.34299999999999997,617.766,745.743,1.0,1690.665,954.405,1046.044,644.621,3134.837890625,4.0232343673706055,71.00244903564453,18.97333335876465,0.0,0.0,0.0,0.0,BASE,NA,,0.18150241672992706,0.08719582855701447,0.3634151220321655,0.12270829826593399,,,0.032825253903865814,0.05437057465314865,0.052642568945884705,0.12600968778133392,0.04928264021873474,,,,0.13000799715518951,0.05549272894859314,0.1303161233663559,0.10940541326999664,0.24306170642375946,United States,USA,,,408.93339574714025,-2.937308022849436,-2.937308022849436,0.6002349696087776,6.726630570638292,9.915484316365507,12.422461774204521,14.870262055838282,18.040361066756418,20.59923229145363,21.337770554397423,19.81247253959583,21.72277494735306,-2.937308022849436,-2.3370730532406583,4.389557517397634,14.305041833763141,26.727503607967662,41.597765663805944,59.63812673056236,80.237359022016,101.57512957641342,121.38760211600925,143.1103770633623,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.850721888066801,414.78411763520705,0,1,1.5220831658857605,-1.199040521677432,,,-0.9098744933628495,-0.008000000000000007,1,0,1
USA,111.0,United States,1983.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,234307.2,18920.156391092147,61.84983229750799,57.9834,3634.038,0.19603349742545126,77.71601819100556,-44.222,328.675,277.0,180.178,2054.78333333333,9.09,11.105,70.18682518500546,9.6,81.52155246436546,0.387,600.562,808.364,1.0,1873.918,1071.727,1162.989,710.929,3370.35302734375,4.149871349334717,70.62718200683594,17.925189971923828,0.0,0.0,0.0,0.0,BASE,NA,,0.230200856924057,0.09467987716197968,0.012692307122051716,0.09066666662693024,,,0.038828715682029724,0.05585115775465965,0.05376358702778816,0.17934001982212067,0.04312651976943016,,,,0.11105000227689743,0.05086082965135574,0.11723767220973969,0.1308588981628418,0.05167948827147484,United States,USA,,,412.47093873959847,3.5375429924582136,3.5375429924582136,9.663938593487728,12.852792339214943,15.359769797053957,17.807570078687718,20.977669089605854,23.536540314303068,24.27507857724686,22.749780562445267,24.660082970202495,25.99584684109783,3.5375429924582136,13.201481585945942,26.054273925160885,41.41404372221484,59.22161380090256,80.19928289050841,103.73582320481148,128.01090178205834,150.7606823445036,175.4207653147061,201.41661215580393,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.358392913875491,416.82933165347396,0,1,-2.937308022849436,1.5220831658857605,,,-5.850721888066801,0.025999999999999968,1,1,0
USA,111.0,United States,1984.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,236348.3,20122.667101821073,65.7574743817149,60.5565,4037.613,0.20594415556663578,80.94997473471449,-99.008,405.125,302.375,192.726,2219.31666666667,10.23,12.4383,73.21515225039427,7.5,84.8531684698609,0.396,666.438,851.805,1.0,2182.121,1249.642,1355.571,826.922,3794.34912109375,4.291740894317627,75.90142822265625,18.25180435180664,1.0,1.0,0.0,0.0,BASE,NA,,0.046411190181970596,0.1008361354470253,0.14989830553531647,0.10365000367164612,,,0.0431462898850441,0.0576898455619812,0.05530369654297829,0.0006082725012674928,0.045775074511766434,,,,0.12438300251960754,0.04580291733145714,0.09564519673585892,0.08872948586940765,0.1267741620540619,United States,USA,,,418.597334340628,6.126395601029515,6.126395601029515,9.31524934675673,11.822226804595743,14.270027086229504,17.44012609714764,19.998997321844854,20.737535584788645,19.212237569987053,21.12253997774428,22.458303848639616,25.20685838414147,6.126395601029515,15.441644947786244,27.263871752381988,41.53389883861149,58.97402493575913,78.97302225760399,99.71055784239263,118.92279541237968,140.04533539012397,162.50363923876358,187.71049762290505,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3140781574796847,418.91141249810767,0,1,3.5375429924582136,-2.937308022849436,,,-4.358392913875491,0.04400000000000004,1,1,0
USA,111.0,United States,1985.0,0.19133000075817108,0.19133,0.0,1.0,1.0,0.0,0.0,USA,USA,238466.3,20717.322960076497,67.88817599332258,63.1634,4338.979,0.2070430683725827,83.72915613946437,-124.455,417.25,302.025,211.081,2416.6666666666697,8.1,10.6233,76.95772170326337,7.2,88.08174480508329,0.426,734.037,946.344,1.0,2414.814,1359.106,1484.7420000000002,930.435,4254.1298828125,4.339538097381592,75.89521789550781,18.914737701416016,0.0,0.0,0.0,0.0,BASE,NA,,0.3082066774368286,0.11023561656475067,0.29332786798477173,0.08047500252723694,,,0.05111787095665932,0.059117741882801056,0.05624273419380188,0.26018235087394714,0.03810901939868927,,,,0.10623300075531006,0.048024315387010574,0.16738350689411163,0.16318251192569733,0.18690143525600433,United States,USA,,,421.7861880863552,3.188853745727215,3.188853745727215,5.695831203566229,8.14363148519999,11.313730496118126,13.87260172081534,14.61113998375913,13.085841968957538,14.996144376714767,16.3319082476101,19.080462783111955,20.37736379548278,3.188853745727215,8.884684949293444,17.028316434493433,28.34204693061156,42.2146486514269,56.82578863518603,69.91163060414357,84.90777498085833,101.23968322846844,120.32014601158039,140.69750980706317,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715317195775242,421.0146563667777,0,1,6.126395601029515,3.5375429924582136,,,-0.3140781574796847,0.009000000000000008,1,1,0
USA,111.0,United States,1986.0,0.1106100007891655,0.11061,0.0,1.0,1.0,0.0,0.0,USA,USA,240650.8,21236.08546335124,69.61163030348476,65.1389,4579.631,0.20475106781314112,85.19454269833248,-147.174,452.85,320.35,232.33,2613.53333333333,6.8,7.6825,82.17123620041247,7.0,89.83341919972524,0.46799999999999997,769.155,990.382,1.0,2667.175,1530.747,1640.8029999999999,1030.069,4461.69921875,4.382522106170654,75.6521224975586,18.788333892822266,0.0,0.0,0.0,0.0,BASE,NA,,0.23917028307914734,0.12732984125614166,0.25966668128967285,0.06518332660198212,,,0.06774500757455826,0.059584829956293106,0.05580436438322067,0.1992281675338745,0.03330651670694351,,,,0.07682500034570694,0.03994211181998253,0.1583782136440277,0.15745744109153748,0.16242501139640808,United States,USA,-0.2838664,-0.2838664,424.2931655441942,2.506977457839014,2.506977457839014,4.9547777394727746,8.12487675039091,10.683747975088124,11.422286238031916,9.896988223230323,11.807290630987552,13.143054501882887,15.89160903738474,17.188510049755564,19.687905297306656,2.506977457839014,7.461755197311788,15.586631947702699,26.270379922790823,37.69266616082274,47.58965438405306,59.396945015040615,72.5399995169235,88.43160855430824,105.6201186040638,125.30802390137046,-0.2838664,0.66147244,0.9256973,0.95844877,0.5300374,1.4353698,0.23080361,1.0733489,1.9241233,2.7998667,3.67871,-0.2838664,0.37760603,1.3033034,2.2617521,2.7917895,4.2271595,4.457963,5.531312,7.4554353,10.255302,13.934012,1.1705912824344864,423.1225742617597,1,0,3.188853745727215,6.126395601029515,,,0.7715317195775242,0.02999999999999997,1,1,0
USA,111.0,United States,1987.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,USA,USA,242803.5,21787.69367412788,71.3366098844389,66.7247,4855.215,0.19891372048096106,88.12531581606872,-160.647,508.7,363.775,248.728,2783.76666666667,6.66,8.38417,87.44995753973068,6.2,91.49922720247295,0.49200000000000005,854.287,1004.017,1.0,2889.206,1748.01,1804.666,1103.971,4731.21484375,4.217868804931641,76.18572998046875,18.72194480895996,0.0,0.0,0.0,0.0,BASE,NA,,0.004867256619036198,0.12214745581150055,-0.031142856925725937,0.06860832870006561,,,0.06424148380756378,0.057905975729227066,0.05441056191921234,-0.03057119809091091,0.03655601665377617,,,,0.08384169638156891,0.035438455641269684,0.07804985344409943,0.0923054963350296,0.018732735887169838,United States,USA,0.94533885,0.94533885,426.74096582582797,2.4478002816337607,2.4478002816337607,5.617899292551897,8.17677051724911,8.915308780192902,7.39001076539131,9.300313173148538,10.636077044043873,13.384631579545726,14.68153259191655,17.180927839467643,20.418119941636462,2.4478002816337607,8.065699574185658,16.242470091434768,25.15777887162767,32.54778963701898,41.84810281016752,52.48417985421139,65.86881143375712,80.55034402567367,97.73127186514131,118.14939180677777,0.94533885,1.2095637,1.2423152,0.8139038,1.7192363,0.51467,1.3572153,2.2079897,3.083733,3.9625764,4.927224,0.94533885,2.1549025,3.3972178,4.2111216,5.930358,6.445028,7.802243,10.010233,13.093966,17.056541,21.983765,1.5203598111992846,425.2206060146287,1,0,2.506977457839014,3.188853745727215,-0.2838664,,1.1705912824344864,0.04199999999999998,1,1,0
